1234567890123,Ion Popescu,9.50,1
1234567890124,Maria Ionescu,8.75,2
1234567890125,Andrei Popa,7.30,3
1234567890126,Elena Dumitrescu,9.80,1
1234567890127,Mihai Stanescu,6.50,4
1234567890128,Ana Constantin,8.20,2
1234567890129,George Radu,9.10,1
1234567890130,Ioana Marin,7.90,5
1234567890131,Alexandru Dima,8.60,2
1234567890132,Cristina Neagu,9.30,3
1234567890133,Bogdan Ionita,6.80,4
1234567890134,Laura Serban,9.70,1
1234567890135,Daniel Rusu,8.40,2
1234567890136,Andreea Stan,7.60,5
1234567890137,Razvan Gheorghe,9.20,3
1234567890138,Simona Badea,8.90,1
1234567890139,Catalin Matei,7.10,4
1234567890140,Diana Florea,9.60,2
1234567890141,Vlad Nistor,8.30,3
1234567890142,Roxana Tudor,7.40,5
